Part,Value,Device,Package,Description,AVAILABILITY,CENTROID_NOT_SPECIFIED,DATASHEET,DATASHEETURL,DCR,DESCRIPTION,DIELECTRIC,DIGIKEY_DESCRIPTION,DIGIKEY_PART_NUMBER,HOUSEPART,IDC,L,LABEL01,LABEL02,LABEL03,LABEL04,LABEL05,LABEL06,LAND_PATTERN,LEAD_FREE,MANUFACTURER,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MOUSER_PART_NUMBER,MPN,PACKAGE,PARTNUMBER,POPULATE,PREFIX,PRICE,REFDES,ROHS,TEMPERATURE_RANGE_HIGH,TEMPERATURE_RANGE_LOW,TOLERANCE,TYPE,URL,VALUE,VENDOR,VOLTAGE,WATTAGE
C1,22uF 1206,CAPACITOR_NP_1206,C1206,Library:  MF_Passives,,,,,,,,,,NO,,,,,,,,,,,,,,,,CL31A226KPHNNNE,,,1,,,,,,,,,,,,,
C2,22uF 1206,CAPACITOR_NP_1206,C1206,Library:  MF_Passives,,,,,,,,,,YES,,,,,,,,,,,,,,,,CL31A226KPHNNNE,,,1,,,,,,,,,,,,,
C3,0.1uF,CAPACITOR_NP_0402,C0402,Library:  MF_Passives,,,,,,,,,,NO,,,,,,,,,,,,,,,,CL05B104KO5NNNC,,,1,,,,,,,,,,,,,
C11,0.1uF,CAPACITOR_NP_0402,C0402,Library:  MF_Passives,,,,,,,,,,No,,,,,,,,,,,,,,,,CL05B104KO5NNNC,,,1,,,,,,,,,,,,,
C12,0.1uF,CAPACITOR_NP_0402,C0402,Library:  MF_Passives,,,,,,,,,,NO,,,,,,,,,,,,,,,,CL05B104KO5NNNC,,,1,,,,,,,,,,,,,
C13,1uF 0603,CAPACITOR_NP_0603,C0603,Library:  MF_Passives,,,,,,,,,,NO,,,,,,,,,,,,,,,,CL05A105KO5NNNC,,,1,,,,,,,,,,,,,
C14,0.1uF,CAPACITOR_NP_0402,C0402,Library:  MF_Passives,,,,,,,,,,NO,,,,,,,,,,,,,,,,CL05B104KO5NNNC,,,1,,,,,,,,,,,,,
C15,22uF 1206,CAPACITOR_NP_1206,C1206,Library:  MF_Passives,,,,,,,,,,YES,,,,,,,,,,,,,,,,CL31A226KPHNNNE,,,1,,,,,,,,,,,,,
C16,0.1uF,CAPACITOR_NP_0402,C0402,Library:  MF_Passives,,,,,,,,,,NO,,,,,,,,,,,,,,,,CL05B104KO5NNNC,,,1,,,,,,,,,,,,,
C17,0.1uF,CAPACITOR_NP_0402,C0402,Library:  MF_Passives,,,,,,,,,,NO,,,,,,,,,,,,,,,,CL05B104KO5NNNC,,,1,,,,,,,,,,,,,
D1,LED-0603-GREEN,LED_SINGLE-0603-GREEN,LED0603,Library:  MF_LEDs,,,,,,,,,,NO,,,,,,,,,,,,,,,,LTST-C190KGKT,,,1,,,,,,,,,,MF-LED-0603-GREEN,,,
FID1,FIDUCIAL_100MIL,FIDUCIAL_100MIL,FIDUCIAL_100MIL,Library:  MF_Aesthetics,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
FID2,FIDUCIAL_100MIL,FIDUCIAL_100MIL,FIDUCIAL_100MIL,Library:  MF_Aesthetics,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
FID3,FIDUCIAL_100MIL,FIDUCIAL_100MIL,FIDUCIAL_100MIL,Library:  MF_Aesthetics,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
J1,USB Conn,USB_MICRO_RIGHT,MICROUSB-RIGHT,Library:  MF_Connectors,,,,,,,,,,NO,,,,,,,,,,,,,,,,10118193-0001LF,,,1,,,,,,,,,,MF-CON-MICROUSB-RIGHT,,,
J3,MF-CON-2.54mm-01x06,CON_01X06_PTH_2.54MM,PTH_2.54MM_01X06,Library:  MF_Connectors,,,,,,,,,,YES,,,,,,,,,,,,,,,,MF-CON-2.54mm-01x06,,,1,,,,,,,,,https://factory.macrofab.com/part/MF-CON-2.54mm-01x06,MF-CON-2.54mm-01x06,,,
JP1,,PINHD-2X10,2X10,PIN HEADER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,XAL4020-222MEB,XAL4020-222MEB,XAL4020,,,,,httpwww.coilcraft.compdfsxal4000.pdf,0.0352,,,,,,5.5,2.20E+06,,,,,,,,,,Coilcraft,XAL4020222MEB,,,,,,,,,,,,,,,,,Coilcraft,,
R3,1M 0402,RESISTOR_0402,R0402,Library:  MF_Passives,,,,,,,,,,,,,,,,,,,,,,,,,,RC0402FR-071ML,,,1,,,,,,,,,,,,,
R4,316k 0402,RESISTOR_0402,R0402,Library:  MF_Passives,,,,,,,,,,,,,,,,,,,,,,,,,,RC0402FR-07316KL,,,1,,,,,,,1%,,,,,,
R10,,RESISTOR_0402,R0402,Library:  MF_Passives,,,,,,,,,,NO,,,,,,,,,,,,,,,,RC0402FR-0710KL,,,1,,,,,,,,,,,,,
R11,,RESISTOR_0402,R0402,Library:  MF_Passives,,,,,,,,,,NO,,,,,,,,,,,,,,,,RC0402FR-0710KL,,,1,,,,,,,,,,,,,
R12,60.4 Ohm 0603,RESISTOR_0603,R0603,Library:  MF_Passives,,,,,,,,,,,,,,,,,,,,,,,,,,RC0603FR-0760R4L,,,1,,,,,,,,,,,,,
R13,10k 0402,RESISTOR_0402,R0402,Library:  MF_Passives,,,,,,,,,,NO,,,,,,,,,,,,,,,,RC0402FR-0710KL,,,1,,,,,,,,,,,,,
R14,10kOHM 0402,RESISTOR_0402,R0402,Library:  MF_Passives,,,,,,,,,,NO,,,,,,,,,,,,,,,,RC0402FR-0710KL,,,1,,,,,,,,,,,,,
R15,10k 0402,RESISTOR_0402,R0402,Library:  MF_Passives,,,,,,,,,,NO,,,,,,,,,,,,,,,,RC0402FR-0710KL,,,1,,,,,,,,,,,,,
R16,10k 0402,RESISTOR_0402,R0402,Library:  MF_Passives,,,,,,,,,,NO,,,,,,,,,,,,,,,,RC0402FR-0710KL,,,1,,,,,,,,,,,,,
R17,10K 0402,RESISTOR_0402,R0402,Library:  MF_Passives,,,,,,,,,,NO,,,,,,,,,,,,,,,,RC0402FR-0710KL,,,1,,,,,,,,,,,,,
R18,10K 0402,RESISTOR_0402,R0402,Library:  MF_Passives,,,,,,,,,,NO,,,,,,,,,,,,,,,,RC0402FR-0710KL,,,1,,,,,,,,,,,,,
SW1,SW,TACT_6MM,TACT6MM,Library:  MF_Switches,,,,,,,,,,NO,,,,,,,,,,,,,,,,PTS645SM43SMTR92 LFS,,,1,,,,,,,,,https://factory.macrofab.com/part/MF-SW-TACT-6MM,MF-SW-TACT-6MM,,,
SW2,SW,TACT_6MM,TACT6MM,Library:  MF_Switches,,,,,,,,,,NO,,,,,,,,,,,,,,,,PTS645SM43SMTR92 LFS,,,1,,,,,,,,,https://factory.macrofab.com/part/MF-SW-TACT-6MM,MF-SW-TACT-6MM,,,
U1,TLV62569PDDCR,TLV62569PDDCR,DDC0006A,,,,,,,,,,,,,,,,,,,,,,Texas Instruments,Texas Instruments,,,,TLV62569PDDCR,,TLV62569PDDC,1,,,RefDes,,,,,TYPE,,TLV62569PDDCR,,,
U8,ESP32-WROVER-B_(16MB),ESP32-WROVER-B_(16MB),XCVR_ESP32-WROVER-B_(16MB),WiFi SMD Module,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U9,ST_MICROELECTRONICS_LIS2HH12TRST_MICROELECTRONICS_LIS2HH12TR_0_0,ST_MICROELECTRONICS_LIS2HH12TRST_MICROELECTRONICS_LIS2HH12TR_0_0,ST_MICROELECTRONICS_LIS2HH12TR_0,ACCELEROMETER 2-8G I2C/SPI 12LGA,,No,http://www2.st.com/content/ccc/resource/technical/document/datasheet/c9/16/f2/79/ca/31/47/89/DM00096789.pdf/files/DM00096789.pdf/jcr:content/translations/en.DM00096789.pdf,,,,,IC ACCELEROMETER 2-8G I2C/SPI 12LGA,497-15069-1-ND,,,,,,,,,,http://www.st.com/content/ccc/resource/technical/document/technical_note/73/17/9c/16/dd/96/4a/01/CD00134799.pdf/files/CD00134799.pdf/jcr:content/translations/en.CD00134799.pdf,yes,,,,ST Microelectronics,511-LIS2HH12TR,LIS2HH12TR,VFLGA12,,1,U,,,yes,+85°C,-40°C,,,,,,,
U10,NMOS SW,N-CHANNEL_FET_BSS138_SOT-23-3,SOT-23-3,Library:  MF_Discrete_Semiconductor,,,,,,,,,,NO,,,,,,,,,,,,,,,,BSS138,,,1,,,,,,,,,,MF-DSC-SOT233-BSS138,,,
